[GIN] 2020/07/22 - 17:45:56 | 200 |   43.095212ms |  202.193.60.215 | POST     /api/v1/bcs/transactions
[GIN] 2020/07/22 - 17:46:03 | 200 |    5.481821ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:03 | 200 |     4.56445ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:03 | 200 |    4.920608ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:03 | 200 |    4.325685ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:04 | 200 |    5.258593ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:04 | 200 |    5.209972ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:04 | 200 |    4.772034ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:04 | 200 |    4.236286ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:05 | 200 |    4.124139ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:05 | 200 |    4.410717ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:05 | 200 |    5.326795ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:05 | 200 |    4.194001ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:05 | 200 |    5.274382ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:05 | 200 |    4.786505ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:06 | 200 |    4.931442ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:06 | 200 |    5.466491ms |   202.193.60.10 | GET      /api/v1/bcs/points/10
[GIN] 2020/07/22 - 17:46:24 | 200 |   18.152099ms |  202.193.60.215 | POST     /api/v1/bcs/transactions
[GIN] 2020/07/22 - 17:46:32 | 200 |     39.9677ms |  202.193.60.215 | POST     /api/v1/bcs/transactions
